笔记ID,笔记链接,标题,应有评论数,实际采集数,缺口,覆盖率%
6a9a47fe000000002502da1c,https://www.xiaohongshu.com/discovery/item/6a9a47fe000000002502da1c?source=webshare&xhsshare=pc_web&xsec_token=ABTsFIF1QDwa_pK-Ad0uAro-SkE9ozdsd9S4GdVXyj3XI=&xsec_source=pc_share,当我试图驯服ai做视频（14）,271,44,227,16.2
6a994f3c0000000028038e1b,https://www.xiaohongshu.com/discovery/item/6a994f3c0000000028038e1b?source=webshare&xhsshare=pc_web&xsec_token=ABy3jH8FyE-5jMayf8h5TsTF3XuuuTt9hQPB7oN0PH9oo=&xsec_source=pc_share,猫狗日记｜出摊的第一天,369,67,302,18.2
6a9e613d000000002502ff91,https://www.xiaohongshu.com/discovery/item/6a9e613d000000002502ff91?source=webshare&xhsshare=pc_web&xsec_token=ABzcC9_u3HiGcQoV49Yj8SGt8qQkZqmXWLFMx4mcZqz7g=&xsec_source=pc_share,小毛咪！人要把你的嘴嘴！狠狠！亲烂！,106,21,85,19.8
6a9c2817000000000b002562,https://www.xiaohongshu.com/discovery/item/6a9c2817000000000b002562?source=webshare&xhsshare=pc_web&xsec_token=AByOTHn8pslWzEQ6Lq2UGEHOf3NBVOvXd3C3NEYYZBh7g=&xsec_source=pc_share,很不高兴为您服务,63,13,50,20.6
6a9e8996000000002502f8b1,https://www.xiaohongshu.com/discovery/item/6a9e8996000000002502f8b1?source=webshare&xhsshare=pc_web&xsec_token=ABzcC9_u3HiGcQoV49Yj8SGl5OHFGVY0Y-3NnEo0OBhKE=&xsec_source=pc_share,可我已经猪豆了呀！,66,14,52,21.2
6a9bf8700000000028028933,https://www.xiaohongshu.com/discovery/item/6a9bf8700000000028028933?source=webshare&xhsshare=pc_web&xsec_token=ABUvhijR-aHSjZ-TUA_7TWP4MFlD_pnNNQPUyRpPXDavI=&xsec_source=pc_share,今天给小咪工资结算清了,382,87,295,22.8
6a9a2dba0000000026016221,https://www.xiaohongshu.com/discovery/item/6a9a2dba0000000026016221?source=webshare&xhsshare=pc_web&xsec_token=ABTsFIF1QDwa_pK-Ad0uArowgAJb-_jxkhNyCWv2DGeR0=&xsec_source=pc_share,安排给咪的开学三件套 走个面儿,215,51,164,23.7
6a9142de000000002102e9c9,https://www.xiaohongshu.com/discovery/item/6a9142de000000002102e9c9?source=webshare&xhsshare=pc_web&xsec_token=AB3iq_HKtRcKD5UrOuexPRXITmA4r55D78jypRSFzhLpg=&xsec_source=pc_share,湿粮分享 | 懒人养猫必入的主食酱包,59,14,45,23.7
6a9a9e52000000001001d8d6,https://www.xiaohongshu.com/discovery/item/6a9a9e52000000001001d8d6?source=webshare&xhsshare=pc_web&xsec_token=ABTsFIF1QDwa_pK-Ad0uAro4T5w1nKLGCeyS2tXZuLYq8=&xsec_source=pc_share,冻梨小哭包长开了！,71,17,54,23.9
6a9fb88c000000002502c677,https://www.xiaohongshu.com/discovery/item/6a9fb88c000000002502c677?source=webshare&xhsshare=pc_web&xsec_token=AB1CyauW0LC4kG8BSBQO4SgpD1Fpy1APZFCdrqA3p_P5A=&xsec_source=pc_share,幸好当时拍下来了！,98,24,74,24.5
6a9c0f14000000002502d9ec,https://www.xiaohongshu.com/discovery/item/6a9c0f14000000002502d9ec?source=webshare&xhsshare=pc_web&xsec_token=AByOTHn8pslWzEQ6Lq2UGEHOSLhT8y2z0akCtSHbqhBxw=&xsec_source=pc_share,口说无凭，请看VCR！,4626,1357,3269,29.3
6aa1222d0000000012003070,https://www.xiaohongshu.com/discovery/item/6aa1222d0000000012003070?source=webshare&xhsshare=pc_web&xsec_token=ABB-jLJ2UhJl00oKno90mVwIkFNNaJwpKN6hbMiAyX4EQ=&xsec_source=pc_share,如此肥美的猫咪老师！,59,19,40,32.2
6aa1224300000000120030d1,https://www.xiaohongshu.com/discovery/item/6aa1224300000000120030d1?source=webshare&xhsshare=pc_web&xsec_token=ABB-jLJ2UhJl00oKno90mVwK88M_EfGvMqpLC7CfUtfsE=&xsec_source=pc_share,原来猫猫真的会玩躲猫猫哎！,80,27,53,33.8
6a9b647f000000002601544d,https://www.xiaohongshu.com/discovery/item/6a9b647f000000002601544d?source=webshare&xhsshare=pc_web&xsec_token=ABUvhijR-aHSjZ-TUA_7TWP6jCydgcx8eb2Kn-1qOODIo=&xsec_source=pc_share,我喜欢橘猫,139,47,92,33.8
6a96963e0000000011030bdc,https://www.xiaohongshu.com/discovery/item/6a96963e0000000011030bdc?source=webshare&xhsshare=pc_web&xsec_token=ABB3JAXwpr694ukSMXhcW5gGWPwcXU4Cj0vAFa9t0GdPw=&xsec_source=pc_share,很不高兴为您服务,3349,1282,2067,38.3
6a9ab6ea0000000012003003,https://www.xiaohongshu.com/discovery/item/6a9ab6ea0000000012003003?source=webshare&xhsshare=pc_web&xsec_token=ABTsFIF1QDwa_pK-Ad0uAro7AKXhvZoTEgWHvbWk88g44=&xsec_source=pc_share,她没有带走他，却把最好的留给了他,695,267,428,38.4
6a8c09390000000028003e63,https://www.xiaohongshu.com/discovery/item/6a8c09390000000028003e63?source=webshare&xhsshare=pc_web&xsec_token=AB2YtXUlaZCYh3tDxRpjhU-lPadtNNctYOYIB3jaI7yS0=&xsec_source=pc_share,怀疑你朋友喜欢这种包子,5091,2084,3007,40.9
6a96c014000000002a007a46,https://www.xiaohongshu.com/discovery/item/6a96c014000000002a007a46?source=webshare&xhsshare=pc_web&xsec_token=ABB3JAXwpr694ukSMXhcW5gGskKrIAqMZk_QLClYz7l94=&xsec_source=pc_share,,4000,1826,2174,45.6
6a7c77380000000029030b8b,https://www.xiaohongshu.com/discovery/item/6a7c77380000000029030b8b?source=webshare&xhsshare=pc_web&xsec_token=ABdTixxpKgeX8xgyNlwZKqNuhQXq2olDkZm1MPJxkkiws=&xsec_source=pc_share,功夫小猫｜普通小猫变身武侠主角,46,21,25,45.7
6a8eb81f0000000026003756,https://www.xiaohongshu.com/discovery/item/6a8eb81f0000000026003756?source=webshare&xhsshare=pc_web&xsec_token=AB-uRdKTwwXDSke21LY6yW6B3LMTSW4KHSySo88Kotgwk=&xsec_source=pc_share,能不能把小时候的咪还给我🥹,5373,2683,2690,49.9
6a8fa98700000000250261b3,https://www.xiaohongshu.com/discovery/item/6a8fa98700000000250261b3?source=webshare&xhsshare=pc_web&xsec_token=ABnGL54A-1Qu6V86MbFYpaLB265sPiDvWcWeVJeJdK7NE=&xsec_source=pc_share,月宝vlog｜第一次坐飞机是什么体验✈️,64,32,32,50.0
6a9fc43b000000002502cb22,https://www.xiaohongshu.com/discovery/item/6a9fc43b000000002502cb22?source=webshare&xhsshare=pc_web&xsec_token=AB1CyauW0LC4kG8BSBQO4SgktQQKZYsTsag9qE4E1Y-JI=&xsec_source=pc_share,人 泥嚎 给咪吸一口,23,13,10,56.5
6a812a4d00000000330195a0,https://www.xiaohongshu.com/discovery/item/6a812a4d00000000330195a0?source=webshare&xhsshare=pc_web&xsec_token=ABjIhQcchtA2fIIyr2HOfesOBJ9ziPrv2J6snLEuV6TBw=&xsec_source=pc_share,咪咪带你看世界！第四站：成都,112,65,47,58.0
6a799bf00000000025001e83,https://www.xiaohongshu.com/discovery/item/6a799bf00000000025001e83?source=webshare&xhsshare=pc_web&xsec_token=ABYn1_zoBltJ97rgxjKCuq1pdnqqCCKjw_zr6KfbTJntw=&xsec_source=pc_share,这种面相的猫最会装可爱了！,1856,1148,708,61.9
6a8a83e00000000029025d61,https://www.xiaohongshu.com/discovery/item/6a8a83e00000000029025d61?source=webshare&xhsshare=pc_web&xsec_token=ABbFgZFikviQpqJDoBkL47V_1wpT4-sWHYsK-ZUoj0TR8=&xsec_source=pc_share,谁会在意你为了穿凉鞋特意做的脚部美甲？,583,369,214,63.3
6a9f78f4000000002b013eca,https://www.xiaohongshu.com/discovery/item/6a9f78f4000000002b013eca?source=webshare&xhsshare=pc_web&xsec_token=AB1CyauW0LC4kG8BSBQO4SgrN8V_DTd0t3yNWzY9ZK6gY=&xsec_source=pc_share,,2718,1836,882,67.5
6a9d3adf0000000026032280,https://www.xiaohongshu.com/discovery/item/6a9d3adf0000000026032280?source=webshare&xhsshare=pc_web&xsec_token=AB75UK_e0YFayMwh0v-0_YQeAuJ2oR6ckvIpqEOiQfPhg=&xsec_source=pc_share,咪的天、萌成啥样了🥹,60,41,19,68.3
6a95084a0000000005029b46,https://www.xiaohongshu.com/discovery/item/6a95084a0000000005029b46?source=webshare&xhsshare=pc_web&xsec_token=ABpiRWDJ8wY2BJElLKUT_9dluQtaFMFzuqHJt_SisQH0Y=&xsec_source=pc_share,谁允许小猫去成都旅游的啊🐼还炫上串串了！,19,13,6,68.4
6a991ed000000000280307e6,https://www.xiaohongshu.com/discovery/item/6a991ed000000000280307e6?source=webshare&xhsshare=pc_web&xsec_token=ABy3jH8FyE-5jMayf8h5TsTKhcrwcJ9sIh6EMl4jGbjBU=&xsec_source=pc_share,下课也不能吃嘛😿,19,13,6,68.4
6a9bfce6000000002a006112,https://www.xiaohongshu.com/discovery/item/6a9bfce6000000002a006112?source=webshare&xhsshare=pc_web&xsec_token=ABUvhijR-aHSjZ-TUA_7TWP1HvLyU5tAKaEwtPTnqSD-k=&xsec_source=pc_share,当我养到会说话的高需求猫宝宝….,51,35,16,68.6
6a9a4a750000000027009361,https://www.xiaohongshu.com/discovery/item/6a9a4a750000000027009361?source=webshare&xhsshare=pc_web&xsec_token=ABTsFIF1QDwa_pK-Ad0uAroxtkwDHOrnx5AlPlNTXFuRI=&xsec_source=pc_share,室友从来不洗脚怎么办？,19,14,5,73.7
6a8a910b000000001600b843,https://www.xiaohongshu.com/discovery/item/6a8a910b000000001600b843?source=webshare&xhsshare=pc_web&xsec_token=ABbFgZFikviQpqJDoBkL47VzcbTlgGSaW66dYLukVSVv8=&xsec_source=pc_share,我不信有人会在小猫喝水的时候不静止,1204,892,312,74.1
6a9b796e0000000012025c31,https://www.xiaohongshu.com/discovery/item/6a9b796e0000000012025c31?source=webshare&xhsshare=pc_web&xsec_token=QB9c9iIfLbNHKRdRutQ-Az1WZwVE3HAsb3FkYBNMK_Cqg=&xsec_source=pc_share,接猫前别错过！！！,12,9,3,75.0
6a9d05b7000000002b0034b8,https://www.xiaohongshu.com/discovery/item/6a9d05b7000000002b0034b8?source=webshare&xhsshare=pc_web&xsec_token=AB75UK_e0YFayMwh0v-0_YQdl4wudtkCyprrAzj_LYs_M=&xsec_source=pc_share,pyq发这种视频合适吗,87,66,21,75.9
6a7ddd84000000002402fdee,https://www.xiaohongshu.com/discovery/item/6a7ddd84000000002402fdee?source=webshare&xhsshare=pc_web&xsec_token=ABn9BIVHX3-BWwEUxvb6pn_Zt0rqdU2vErxQ91vLJDNMk=&xsec_source=pc_share,我的猫，好像不需要我了...,63,48,15,76.2
6a99462300000000280012b9,https://www.xiaohongshu.com/discovery/item/6a99462300000000280012b9?source=webshare&xhsshare=pc_web&xsec_token=ABy3jH8FyE-5jMayf8h5TsTEB8jYfNpQ3_UGrh4beTWmM=&xsec_source=pc_share,有一只生活参与感很强的小猫,13,10,3,76.9
